1	empty-hypothesis	s-sent	r-sent	empty
2	empty-hypothesis	s-sent	r-sent	empty
3	empty-hypothesis	s-sent	r-sent	empty
4	empty-hypothesis	s-sent	r-sent	empty
5	empty-hypothesis	s-sent	r-sent	empty
6	empty-hypothesis	s-phrase	r-phrase	empty
7	empty-hypothesis	s-phrase	r-phrase	empty
8	empty-hypothesis	s-phrase	r-phrase	empty
9	empty-hypothesis	s-phrase	r-phrase	empty
10	empty-hypothesis	s-phrase	r-phrase	empty
11	empty-hypothesis	s-word	r-word	empty
12	empty-hypothesis	s-word	r-word	empty
13	empty-hypothesis	s-word	r-word	empty
14	empty-hypothesis	s-word	r-word	empty
15	empty-hypothesis	s-word	r-word	empty
16	empty-hypothesis	s-punct	r-punct	empty
17	empty-hypothesis	s-punct	r-punct	empty
18	empty-hypothesis	s-punct	r-punct	empty
19	empty-hypothesis	s-punct	r-punct	empty
20	empty-hypothesis	s-punct	r-punct	empty
21	empty-source-and-reference	empty	empty	r-sent
22	empty-source-and-reference	empty	empty	r-sent
23	empty-source-and-reference	empty	empty	r-sent
24	empty-source-and-reference	empty	empty	r-sent
25	empty-source-and-reference	empty	empty	r-sent
26	empty-source-and-reference	empty	empty	r-phrase
27	empty-source-and-reference	empty	empty	r-phrase
28	empty-source-and-reference	empty	empty	r-phrase
29	empty-source-and-reference	empty	empty	r-phrase
30	empty-source-and-reference	empty	empty	r-phrase
31	empty-source-and-reference	empty	empty	r-word
32	empty-source-and-reference	empty	empty	r-word
33	empty-source-and-reference	empty	empty	r-word
34	empty-source-and-reference	empty	empty	r-word
35	empty-source-and-reference	empty	empty	r-word
36	empty-source-and-reference	empty	empty	punct
37	empty-source-and-reference	empty	empty	punct
38	empty-source-and-reference	empty	empty	punct
39	empty-source-and-reference	empty	empty	punct
40	empty-source-and-reference	empty	empty	punct
41	untranslated	s-sent	r-sent	s-sent
42	untranslated	s-sent	r-sent	s-sent
43	untranslated	s-sent	r-sent	s-sent
44	untranslated	s-sent	r-sent	s-sent
45	untranslated	s-sent	r-sent	s-sent
46	wrong-language	s-sent	r-sent	wl-sent
47	wrong-language	s-sent	r-sent	wl-sent
48	wrong-language	s-sent	r-sent	wl-sent
49	wrong-language	s-sent	r-sent	wl-sent
50	wrong-language	s-sent	r-sent	wl-sent
51	mix-language	s-sent	r-sent	mix-sent
52	mix-language	s-sent	r-sent	mix-sent
53	mix-language	s-sent	r-sent	mix-sent
54	mix-language	s-sent	r-sent	mix-sent
55	mix-language	s-sent	r-sent	mix-sent
